Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=+12V Pin=C1-2
Removed Pin From Net: NetName=+3.3V Pin=C5-2
Removed Pin From Net: NetName=+3.3V Pin=D1-1
Removed Pin From Net: NetName=+12V Pin=D1-2
Change Component Footprint: Designator=D1 Old Footprint=DO-41 New Footprint=ONSC-SOD-323-2-477-02_V
Change Component Footprint: Designator=C1 Old Footprint=FP-T491D106K035AT-MFG New Footprint=FP-TAJD-MFG
Change Component Footprint: Designator=C5 Old Footprint=FP-T491D107K016AT-MFG New Footprint=FP-TAJD-MFG
Change Component Comment : Designator=C1 Old Comment=10uF New Comment=47uF
Change Component Comment : Designator=D1 Old Comment=Diode 1N4007 New Comment=BAT54HT1G
Change Component Comment : Designator=C5 Old Comment=T491D107K016AT New Comment=47uF
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7AFA89ED-5E35-431F-9342-C1CAB919389C New ItemGUID=DB600BB3-92F3-447A-8DF5-560AEA0DAD4D Old RevisionGUID=E3A8E20F-9468-4966-96AB-E46BF96FF8A5 New RevisionGUID=C900A3BE-9A04-476B-B175-1A5AA2D90394
Change Managed Component Library Link : Designator=C5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=CA1D93FD-31B7-4C6E-9E2C-41B81A655C1C New ItemGUID=DB600BB3-92F3-447A-8DF5-560AEA0DAD4D Old RevisionGUID=1EA0B0E3-8520-455B-AB75-B2B0CF05F0EC New RevisionGUID=C900A3BE-9A04-476B-B175-1A5AA2D90394
Change Managed Component Library Link : Designator=D1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C2195BAC-4F48-4134-882F-5FEA038592C8 Old RevisionGUID= New RevisionGUID=8D1746BC-DED3-45C2-9185-95A5DA0BC503
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-T491D106K035AT-MFG"; UniqueID = "\EXFVKJMX" ("\EXFVKJMX")
Add component (AddParameter): Name = "Code_JEITA"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM1117-N&fileType=pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CompType"; Value = "LDO IC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "High-Reliability"; Value = "Y"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Molded SOT-223, 6.50 x 3.56 x 1.6mm Body, 4 Lead, 2.3mm Pitch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DCY0004A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageTopMarking"; Value = "XYTT*N06A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "LM1117MPX-5.0/NOPB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PinCount"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PowerWise"; Value = "N"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+12V Pin=C5-2
Added Pin To Net: NetName=+12V Pin=D1-1
Added Pin To Net: NetName=+3.3V Pin=D1-2
Added Pin To Net: NetName=+12V Pin=D2-1
Added Pin To Net: NetName=+12V Pin=D3-1
Added Pin To Net: NetName=GND Pin=D3-2
Added Pin To Net: NetName=+12V Pin=F1-2
Added Pin To Net: NetName=+12V Pin=F1-2
Added Pin To Net: NetName=GND Pin=J1-1
Added Pin To Net: NetName=+12V Pin=R1-1
Added Pin To Net: NetName=GND Pin=R2-2
Added Pin To Net: NetName=GND Pin=U1-1
Added Pin To Net: NetName=+12V Pin=U1-3
Added Pin To Net: NetName=+3.3V Pin=U1-4
Added Pin To Net: NetName=+12V Pin=U2-3
Added Pin To Net: NetName=+5V Pin=C1-2
Added Pin To Net: NetName=+5V Pin=D2-2
Added Pin To Net: NetName=+5V Pin=U2-4
Added Net: Name=+5V
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=NetC1_1 Pin=U2-1
Added Net: Name=NetC1_1
Added Pin To Net: NetName=NetF1_1 Pin=F1-1
Added Pin To Net: NetName=NetF1_1 Pin=F1-1
Added Pin To Net: NetName=NetF1_1 Pin=J1-2
Added Net: Name=NetF1_1
Added Pin To Net: NetName=NetR1_2 Pin=R1-2
Added Pin To Net: NetName=NetR1_2 Pin=R2-1
Added Net: Name=NetR1_2
Added Member To Class: ClassName=Main Member=Component D2 BAT54HT1G
Added Member To Class: ClassName=Main Member=Component D3 SMBJ15A-E3/52
Added Member To Class: ClassName=Main Member=Component F1 0031.8231
Added Member To Class: ClassName=Main Member=Component J1 1714955
Added Member To Class: ClassName=Main Member=Component R1 CRCW0805100KFKEA
Added Member To Class: ClassName=Main Member=Component R2 CRCW080510K0FKEA
Added Member To Class: ClassName=Main Member=Component U1 LM1117IMP-3.3/NOPB
Added Member To Class: ClassName=Main Member=Component U2 LM1117MPX-5.0/NOPB
